date,token_id,price,trading_volume,trend,post_counts
2024-04-12,floki,0.000191947522077254,146983190.4,6,1
2024-04-12,mog-coin,5.24235571390352e-07,5166270.839,9,1
2024-04-13,shiba-inu,2.48064730332098e-05,1173233107.0,4,4
2024-04-13,pepe,5.95937931976159e-06,1148006012.0,92,4
2024-04-13,bonk,1.73763821711484e-05,177262381.5,6,4
2024-04-13,floki,0.000159090479384096,267252732.0,7,4
2024-04-13,mog-coin,4.87966868733922e-07,5753198.246,10,4
2024-04-14,shiba-inu,2.13084419468652e-05,1542064547.0,4,0
2024-04-14,pepe,5.0970068822465e-06,1325083216.0,88,0
2024-04-14,bonk,1.55290145590172e-05,209283266.1,5,0
2024-04-14,floki,0.000134648897351601,305795476.4,6,0
2024-04-14,mog-coin,4.71511825506198e-07,4926651.238,10,0
2024-04-15,shiba-inu,2.27403158496808e-05,1371219542.0,3,0
2024-04-15,pepe,5.46689695810763e-06,959699454.9,68,0
2024-04-15,bonk,1.62843899912349e-05,120840476.1,5,0
2024-04-15,floki,0.000151308945509733,268900554.7,5,0
2024-04-15,mog-coin,5.20307695663502e-07,5861531.119,9,0
2024-04-16,shiba-inu,2.19412130788169e-05,1095234411.0,3,0
2024-04-16,pepe,5.10294725376329e-06,762961104.8,69,0
2024-04-16,bonk,1.46879734096837e-05,106362179.5,5,0
2024-04-16,floki,0.00014314047361946,197601251.5,5,0
2024-04-16,mog-coin,4.50844898155302e-07,4867273.217,8,0
2024-04-17,shiba-inu,2.26782783678924e-05,883515137.9,3,5
2024-04-17,pepe,5.40873144544449e-06,689476369.0,72,5
2024-04-17,bonk,1.46807747678819e-05,101077392.1,6,5
2024-04-17,floki,0.000141964213736129,190004425.5,5,5
2024-04-17,mog-coin,4.91214027094953e-07,4687688.56,9,5
2024-04-18,shiba-inu,2.211679105311e-05,594950256.4,3,0
2024-04-18,pepe,4.92519857574381e-06,554241025.2,75,0
2024-04-18,bonk,1.39431574984573e-05,72205788.63,6,0
2024-04-18,floki,0.000133757285454669,152851823.5,5,0
2024-04-18,mog-coin,4.25818438176649e-07,5285947.778,8,0
2024-04-19,shiba-inu,2.27678160396324e-05,440264215.5,4,1
2024-04-19,pepe,5.08467992640202e-06,506223488.0,79,1
2024-04-19,bonk,1.47212388388773e-05,71150506.08,6,1
2024-04-19,floki,0.000138418871674946,132450588.1,6,1
2024-04-19,mog-coin,5.16483341777369e-07,5804804.578,9,1
2024-04-20,shiba-inu,2.29127326039117e-05,658131298.1,5,5
2024-04-20,pepe,5.14294491679587e-06,638422344.6,84,5
2024-04-20,bonk,1.4916480900859e-05,100550043.2,7,5
2024-04-20,floki,0.000139982365934296,160228645.5,7,5
2024-04-20,mog-coin,5.28874491118131e-07,7408763.068,10,5
2024-04-21,shiba-inu,2.62452698362131e-05,764149417.6,5,0
2024-04-21,pepe,5.78206150526559e-06,497512854.6,84,0
2024-04-21,bonk,1.95279748396353e-05,198668799.4,10,0
2024-04-21,floki,0.000166492822886036,190273142.0,7,0
2024-04-21,mog-coin,6.39789849006673e-07,4317541.291,10,0
2024-04-22,shiba-inu,2.6280754051695e-05,987012388.1,4,12
2024-04-22,pepe,5.96058888009771e-06,678652817.6,72,12
2024-04-22,bonk,2.09076210481901e-05,377307974.7,7,12
2024-04-22,floki,0.000171169572519541,260590056.3,6,12
2024-04-22,mog-coin,5.79486293998887e-07,5417710.051,8,12
2024-04-23,shiba-inu,2.6894235073998e-05,721964847.2,3,0
2024-04-23,pepe,6.88743638457765e-06,1058181207.0,74,0
2024-04-23,bonk,2.02528270774546e-05,177938019.5,7,0
2024-04-23,floki,0.000176440118882254,209426496.3,7,0
2024-04-23,mog-coin,6.24252086968998e-07,5417175.883,9,0
2024-04-24,shiba-inu,2.67600710076545e-05,663795714.0,4,0
2024-04-24,pepe,7.67975444316014e-06,1346146843.0,73,0
2024-04-24,bonk,2.46273851467215e-05,323037059.3,12,0
2024-04-24,floki,0.000192773850385138,382107715.5,7,0
2024-04-24,mog-coin,6.58353325798191e-07,6295117.628,9,0
2024-04-25,shiba-inu,2.56442273423551e-05,783166695.2,3,0
2024-04-25,pepe,7.26842191386896e-06,1327415873.0,74,0
2024-04-25,bonk,2.44460949340626e-05,612606928.1,10,0
2024-04-25,floki,0.000184206500346676,321505597.8,6,0
2024-04-25,mog-coin,6.68639862540716e-07,8940546.665,9,0
2024-04-26,shiba-inu,2.5713994894602e-05,792428896.6,2,2
2024-04-26,pepe,7.81889145762624e-06,1162760539.0,71,2
2024-04-26,bonk,2.71619445263116e-05,535086760.5,10,2
2024-04-26,floki,0.000187460746107726,270998194.2,5,2
2024-04-26,mog-coin,6.75710022161173e-07,5091035.21,9,2
2024-04-27,shiba-inu,2.52313642842451e-05,578932847.7,3,0
2024-04-27,pepe,7.35172721484592e-06,828532585.7,77,0
2024-04-27,bonk,2.55022096663648e-05,412570466.4,8,0
2024-04-27,floki,0.0001824887851091,193373011.8,5,0
2024-04-27,mog-coin,6.22867311570696e-07,5220849.402,10,0
2024-04-28,shiba-inu,2.4818688554163e-05,480482020.5,2,0
2024-04-28,pepe,7.22051141585698e-06,672462497.1,86,0
2024-04-28,bonk,2.46465405474305e-05,327697814.7,8,0
2024-04-28,floki,0.000173654913850493,141026688.9,5,0
2024-04-28,mog-coin,6.70329913252717e-07,3692806.633,10,0
2024-04-29,shiba-inu,2.42177750075939e-05,360475847.4,3,0
2024-04-29,pepe,7.21249259318171e-06,619476380.0,82,0
2024-04-29,bonk,2.50224121466769e-05,281413933.1,8,0
2024-04-29,floki,0.000169754553198456,119713890.0,4,0
2024-04-29,mog-coin,5.82616304403615e-07,3623509.278,9,0
2024-04-30,shiba-inu,2.4141908108538e-05,565381850.4,2,0
2024-04-30,pepe,7.34983951331194e-06,650151669.2,100,0
2024-04-30,bonk,2.54722052886816e-05,273598037.9,6,0
